x_cod_alumno,name,email,x_horas_acumuladas,x_centro_id,x_cod_docente_id,is_company
ALU001,Alumno Uno,alu1@ejemplo.com,0,IES Triana,Curro Romero,0
ALU002,Alumno Dos,alu2@ejemplo.com,0,IES Triana,Macarena García,0
ALU003,Alumno Tres,alu3@ejemplo.com,0,IES Triana,Jesús del Gran Poder,0
ALU004,Alumno Cuatro,alu4@ejemplo.com,0,IES Triana,Esperanza Triana,0
ALU005,Alumno Cinco,alu5@ejemplo.com,0,IES Triana,Rafa Serna,0
ALU006,Alumno Seis,alu6@ejemplo.com,0,IES Triana,Rocío Jurado,0
ALU007,Alumno Siete,alu7@ejemplo.com,0,IES Triana,Curro Romero,0
ALU008,Alumno Ocho,alu8@ejemplo.com,0,IES Triana,Macarena García,0
ALU009,Alumno Nueve,alu9@ejemplo.com,0,IES Triana,Jesús del Gran Poder,0
ALU010,Alumno Diez,alu10@ejemplo.com,0,IES Triana,Esperanza Triana,0
ALU011,Alumno Once,alu11@ejemplo.com,0,IES Triana,Rafa Serna,0
ALU012,Alumno Doce,alu12@ejemplo.com,0,IES Triana,Rocío Jurado,0
ALU013,Alumno Trece,alu13@ejemplo.com,0,IES Triana,Curro Romero,0
ALU014,Alumno Catorce,alu14@ejemplo.com,0,IES Triana,Macarena García,0
ALU015,Alumno Quince,alu15@ejemplo.com,0,IES Triana,Jesús del Gran Poder,0
ALU016,Alumno Dieciséis,alu16@ejemplo.com,0,IES Triana,Esperanza Triana,0
ALU017,Alumno Diecisiete,alu17@ejemplo.com,0,IES Triana,Rafa Serna,0
ALU018,Alumno Dieciocho,alu18@ejemplo.com,0,IES Triana,Rocío Jurado,0
ALU019,Alumno Diecinueve,alu19@ejemplo.com,0,IES Triana,Curro Romero,0
ALU020,Alumno Veinte,alu20@ejemplo.com,0,IES Triana,Macarena García,0
ALU021,Alumno Veintiuno,alu21@ejemplo.com,0,IES Triana,Jesús del Gran Poder,0
ALU022,Alumno Veintidós,alu22@ejemplo.com,0,IES Triana,Esperanza Triana,0
ALU023,Alumno Veintitrés,alu23@ejemplo.com,0,IES Triana,Rafa Serna,0
ALU024,Alumno Veinticuatro,alu24@ejemplo.com,0,IES Triana,Rocío Jurado,0
ALU025,Alumno Veinticinco,alu25@ejemplo.com,0,IES Triana,Curro Romero,0
ALU026,Alumno Veintiséis,alu26@ejemplo.com,0,IES Macarena,Joaquín Sánchez,0
ALU027,Alumno Veintisiete,alu27@ejemplo.com,0,IES Macarena,Pastora Soler,0
ALU028,Alumno Veintiocho,alu28@ejemplo.com,0,IES Macarena,Carlos Herrera,0
ALU029,Alumno Veintinueve,alu29@ejemplo.com,0,IES Macarena,María del Monte,0
ALU030,Alumno Treinta,alu30@ejemplo.com,0,IES Macarena,Alejandro Sanz,0
ALU031,Alumno Treinta y uno,alu31@ejemplo.com,0,IES Macarena,Pepa Flores,0
ALU032,Alumno Treinta y dos,alu32@ejemplo.com,0,IES Macarena,Joaquín Sánchez,0
ALU033,Alumno Treinta y tres,alu33@ejemplo.com,0,IES Macarena,Pastora Soler,0
ALU034,Alumno Treinta y cuatro,alu34@ejemplo.com,0,IES Macarena,Carlos Herrera,0
ALU035,Alumno Treinta y cinco,alu35@ejemplo.com,0,IES Macarena,María del Monte,0
ALU036,Alumno Treinta y seis,alu36@ejemplo.com,0,IES Macarena,Alejandro Sanz,0
ALU037,Alumno Treinta y siete,alu37@ejemplo.com,0,IES Macarena,Pepa Flores,0
ALU038,Alumno Treinta y ocho,alu38@ejemplo.com,0,IES Macarena,Joaquín Sánchez,0
ALU039,Alumno Treinta y nueve,alu39@ejemplo.com,0,IES Macarena,Pastora Soler,0
ALU040,Alumno Cuarenta,alu40@ejemplo.com,0,IES Macarena,Carlos Herrera,0
ALU041,Alumno Cuarenta y uno,alu41@ejemplo.com,0,IES Macarena,María del Monte,0
ALU042,Alumno Cuarenta y dos,alu42@ejemplo.com,0,IES Macarena,Alejandro Sanz,0
ALU043,Alumno Cuarenta y tres,alu43@ejemplo.com,0,IES Macarena,Pepa Flores,0
ALU044,Alumno Cuarenta y cuatro,alu44@ejemplo.com,0,IES Macarena,Joaquín Sánchez,0
ALU045,Alumno Cuarenta y cinco,alu45@ejemplo.com,0,IES Macarena,Pastora Soler,0
ALU046,Alumno Cuarenta y seis,alu46@ejemplo.com,0,IES Macarena,Carlos Herrera,0
ALU047,Alumno Cuarenta y siete,alu47@ejemplo.com,0,IES Macarena,María del Monte,0
ALU048,Alumno Cuarenta y ocho,alu48@ejemplo.com,0,IES Macarena,Alejandro Sanz,0
ALU049,Alumno Cuarenta y nueve,alu49@ejemplo.com,0,IES Macarena,Pepa Flores,0
ALU050,Alumno Cincuenta,alu50@ejemplo.com,0,IES Macarena,Joaquín Sánchez,0
