x_id_asistencia,x_fecha,x_hora_entrada,x_hora_salida,x_horas_diarias,x_fk_alumno,x_observaciones
2001,2026-01-07,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2002,2026-01-08,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2003,2026-01-09,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2004,2026-01-12,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2005,2026-01-13,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2006,2026-01-14,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2007,2026-01-15,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2008,2026-01-16,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2009,2026-01-19,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2010,2026-01-20,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2011,2026-01-21,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2012,2026-01-22,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2013,2026-01-23,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2014,2026-01-26,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2015,2026-01-27,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2016,2026-01-28,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2017,2026-01-29,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2018,2026-01-30,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2019,2026-02-02,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2020,2026-02-03,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2021,2026-02-04,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2022,2026-02-05,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2023,2026-02-06,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2024,2026-02-09,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2025,2026-02-10,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2026,2026-02-11,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2027,2026-02-12,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2028,2026-02-13,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2029,2026-02-16,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2030,2026-02-17,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2031,2026-02-18,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2032,2026-02-19,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2033,2026-02-20,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2034,2026-02-23,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2035,2026-02-24,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2036,2026-02-25,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2037,2026-02-26,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
2038,2026-02-27,8.0,14.0,6.0,Alumno Veintiséis,Asistencia normal
